Crop type,Season,Year,State,District,Annual rainfall (mm),Cultivated area (hectares),Total production (tonnes),Pesticide and fertilizer used (kg/hectare),Yield (tonnes/hectare)
Sapota,Rabi,2007-2008,Odisha,Nabarangpur,1437.43,17665,27910.7,205.39,1.58
Guava,Rabi,2009-2010,Odisha,Nuapada,1447.48,20689,34550.63,211.87,1.67
Black Pepper,Kharif,2019-2020,Odisha,Jagatsinghapur,1667.64,12695,20185.05,236.57,1.59
Guava,Rabi,2020-2021,Odisha,Jajpur,1374.23,16983,28871.1,156.38,1.7
Jackfruit,Rabi,2005-2006,Odisha,Jajpur,1557.07,26659,34656.7,238.77,1.3
Potato,Kharif,2010-2011,Odisha,Rayagada,1538.25,13186,295234.54,113.06,22.39
Gram (Chickpea),Rabi,2011-2012,Odisha,Mayurbhanj,1442.6,8945,13059.7,174.8,1.46
Oranges & Limes,Rabi,2023-2024,Odisha,Bargarh,1654.11,20786,35751.92,147.08,1.72
Lentil,Kharif,2005-2006,Odisha,Subarnapur,1553.89,9262,14448.72,164.7,1.56
Sesamum (Til),Kharif,2017-2018,Odisha,Jharsuguda,1818.28,17770,30742.1,194.0,1.73
Cauliflower,Kharif,2017-2018,Odisha,Balasore,1388.83,28463,42979.13,112.06,1.51
Sesamum (Til),Kharif,2018-2019,Odisha,Koraput,1440.66,21485,35235.4,256.55,1.64
Cashew,Rabi,2013-2014,Odisha,Khordha,1570.93,22684,36294.4,135.2,1.6
Tea,Rabi,2010-2011,Odisha,Bargarh,1668.4,27674,42894.7,93.31,1.55
Linseed,Rabi,2024-2025,Odisha,Gajapati,1354.75,19122,33081.06,175.17,1.73
Gourds,Kharif,2023-2024,Odisha,Nayagarh,1401.17,31445,48425.3,115.94,1.54
Sweet Potato,Rabi,2004-2005,Odisha,Ganjam,1393.63,20648,34275.68,129.86,1.66
Banana,Rabi,2010-2011,Odisha,Sambalpur,1738.12,12320,380811.2,236.21,30.91
Coffee,Rabi,2012-2013,Odisha,Bhadrak,1528.67,21369,36968.37,255.51,1.73
Mustard,Rabi,2020-2021,Odisha,Puri,1466.67,30386,55606.38,136.22,1.83
Coriander,Rabi,2017-2018,Odisha,Kendrapara,1464.9,22897,38009.02,235.45,1.66
Linseed,Rabi,2010-2011,Odisha,Jharsuguda,1177.53,29471,43911.79,140.47,1.49
Niger,Rabi,2016-2017,Odisha,Kandhamal,1382.11,27210,45440.7,166.41,1.67
Sweet Potato,Kharif,2019-2020,Odisha,Malkangiri,1509.51,13110,22024.8,108.5,1.68
Litchi,Rabi,2014-2015,Odisha,Gajapati,1361.98,23836,38614.32,125.8,1.62
Cardamom,Kharif,2004-2005,Odisha,Balasore,1579.34,12445,18418.6,120.21,1.48
Bajra (Pearl Millet),Kharif,2012-2013,Odisha,Sambalpur,1831.25,11116,17007.48,104.24,1.53
Linseed,Rabi,2012-2013,Odisha,Subarnapur,1419.14,24282,40550.94,130.19,1.67
Jowar (Sorghum),Rabi,2010-2011,Odisha,Nabarangpur,1615.52,16105,26412.2,201.1,1.64
Coriander,Kharif,2011-2012,Odisha,Gajapati,1421.52,26735,40102.5,101.87,1.5
Ginger,Rabi,2002-2003,Odisha,Rayagada,1453.02,14049,21354.48,130.86,1.52
Gourds,Kharif,2003-2004,Odisha,Kendrapara,1377.44,11645,17351.05,113.18,1.49
Sapota,Kharif,2012-2013,Odisha,Khordha,1299.22,23393,39768.1,210.66,1.7
Brinjal (Eggplant),Kharif,2000-2001,Odisha,Balasore,1470.59,16567,25347.51,87.84,1.53
Coriander,Kharif,2007-2008,Odisha,Boudh,1467.39,14180,17299.6,173.5,1.22
Cashew,Rabi,2004-2005,Odisha,Malkangiri,1635.88,23307,38922.69,162.78,1.67
Black Pepper,Rabi,2005-2006,Odisha,Jagatsinghapur,1371.18,32688,56877.12,85.4,1.74
Cauliflower,Rabi,2020-2021,Odisha,Dhenkanal,1487.67,14009,23114.85,259.54,1.65
Gram (Chickpea),Kharif,2010-2011,Odisha,Balangir,1472.43,31366,49558.28,248.13,1.58
Castor,Rabi,2021-2022,Odisha,Khordha,1316.17,503,845.04,105.78,1.68
Cashew,Kharif,2005-2006,Odisha,Malkangiri,1583.24,19868,31987.48,95.12,1.61
Cardamom,Rabi,2022-2023,Odisha,Gajapati,1511.41,16090,29122.9,215.0,1.81
Mesta,Kharif,2017-2018,Odisha,Deogarh,1411.69,18797,32330.84,173.69,1.72
Gram (Chickpea),Kharif,2008-2009,Odisha,Balangir,1355.16,29309,43963.5,150.87,1.5
Sugarcane,Rabi,2023-2024,Odisha,Khordha,1500.36,2419,195189.11,247.79,80.69
Onion,Kharif,2018-2019,Odisha,Kalahandi,1501.53,3643,6047.38,200.37,1.66
Okra (Bhendi),Rabi,2015-2016,Odisha,Subarnapur,1434.62,37568,59733.12,96.27,1.59
Garlic,Rabi,2024-2025,Odisha,Bargarh,1427.49,18757,33575.03,207.36,1.79
Coffee,Kharif,2002-2003,Odisha,Koraput,1501.87,17497,26595.44,242.41,1.52
Wheat,Rabi,2001-2002,Odisha,Jharsuguda,1479.27,10701,22900.14,170.64,2.14
Gram (Chickpea),Rabi,2010-2011,Odisha,Keonjhar,1136.74,15724,23900.48,92.12,1.52
Gourds,Kharif,2002-2003,Odisha,Bargarh,1649.46,6641,10359.96,226.76,1.56
Pumpkin,Kharif,2017-2018,Odisha,Sambalpur,1677.6,25018,41529.88,99.78,1.66
Onion,Rabi,2002-2003,Odisha,Angul,1317.05,20382,28127.16,156.56,1.38
Coriander,Kharif,2021-2022,Odisha,Cuttack,1463.33,7969,14423.89,205.21,1.81
Turmeric,Rabi,2014-2015,Odisha,Bhadrak,1438.57,26679,41619.24,208.69,1.56
Cowpea,Kharif,2004-2005,Odisha,Subarnapur,1227.94,26856,39746.88,87.29,1.48
Sugarcane,Kharif,2011-2012,Odisha,Kalahandi,1368.24,5235,415554.3,100.76,79.38
Jute,Kharif,2011-2012,Odisha,Kandhamal,1507.85,26356,66153.56,112.36,2.51
Niger,Rabi,2003-2004,Odisha,Mayurbhanj,1594.99,36553,57022.68,89.19,1.56
Kulthi (Horse Gram),Kharif,2013-2014,Odisha,Nabarangpur,1647.87,27455,44202.55,87.43,1.61
Small Millets,Rabi,2019-2020,Odisha,Jagatsinghapur,1427.87,26504,41346.24,105.97,1.56
Cowpea,Rabi,2014-2015,Odisha,Angul,1427.36,29956,56616.84,118.49,1.89
Maize,Rabi,2007-2008,Odisha,Dhenkanal,1049.98,115422,341649.12,228.71,2.96
Okra (Bhendi),Kharif,2005-2006,Odisha,Jajpur,1265.83,27190,44591.6,129.38,1.64
Mango,Rabi,2004-2005,Odisha,Boudh,1399.85,16767,25653.51,220.58,1.53
Mango,Kharif,2021-2022,Odisha,Jagatsinghapur,1304.21,14850,25245.0,116.84,1.7
Coriander,Kharif,2011-2012,Odisha,Jharsuguda,1536.26,19039,29510.45,186.62,1.55
Groundnut,Rabi,2019-2020,Odisha,Khordha,1488.97,20635,39206.5,117.0,1.9
Maize,Rabi,2003-2004,Odisha,Jharsuguda,1393.71,88495,266369.95,203.2,3.01
Pumpkin,Rabi,2003-2004,Odisha,Sambalpur,1463.45,27130,40695.0,102.62,1.5
Guava,Rabi,2007-2008,Odisha,Sambalpur,1565.57,17372,28490.08,125.12,1.64
Mustard,Kharif,2004-2005,Odisha,Rayagada,1377.46,20669,32243.64,144.61,1.56
Rice (Paddy),Kharif,2019-2020,Odisha,Kandhamal,1540.78,139310,507088.4,105.09,3.64
Mango,Kharif,2004-2005,Odisha,Nuapada,1150.39,2299,3448.5,133.06,1.5
Mung (Green Gram),Kharif,2001-2002,Odisha,Mayurbhanj,1369.6,500,770.0,154.71,1.54
Mung (Green Gram),Kharif,2001-2002,Odisha,Malkangiri,1635.94,30133,43692.85,248.5,1.45
Tomato,Kharif,2004-2005,Odisha,Angul,1443.37,22910,35739.6,118.93,1.56
Lentil,Kharif,2019-2020,Odisha,Deogarh,1451.15,16341,26635.83,185.92,1.63
Field Pea,Rabi,2007-2008,Odisha,Rayagada,1588.81,17700,26550.0,249.46,1.5
Chilli,Kharif,2005-2006,Odisha,Rayagada,964.61,28198,41733.04,166.41,1.48
Ginger,Kharif,2016-2017,Odisha,Gajapati,1544.24,4149,6596.91,150.02,1.59
Cardamom,Rabi,2013-2014,Odisha,Kandhamal,1089.17,24946,39414.68,90.68,1.58
Cardamom,Kharif,2023-2024,Odisha,Bhadrak,1425.24,12616,20185.6,233.92,1.6
Rice (Paddy),Rabi,2008-2009,Odisha,Mayurbhanj,1560.33,203366,697545.38,200.0,3.43
Sweet Potato,Rabi,2013-2014,Odisha,Nayagarh,1482.83,25828,41841.36,224.33,1.62
Guava,Rabi,2013-2014,Odisha,Bhadrak,1543.51,18646,29460.68,130.75,1.58
Tobacco,Rabi,2015-2016,Odisha,Keonjhar,1622.03,19515,35322.15,110.56,1.81
Ginger,Kharif,2014-2015,Odisha,Dhenkanal,1563.82,30384,48614.4,132.89,1.6
Tobacco,Rabi,2002-2003,Odisha,Bargarh,1628.15,28787,42604.76,158.88,1.48
Lentil,Rabi,2007-2008,Odisha,Puri,1305.09,5499,9898.2,167.63,1.8
Potato,Kharif,2019-2020,Odisha,Nabarangpur,1293.81,25703,560068.37,212.02,21.79
Jackfruit,Kharif,2011-2012,Odisha,Gajapati,1559.3,6745,10792.0,195.45,1.6
Cowpea,Kharif,2022-2023,Odisha,Kandhamal,1577.15,17057,31896.59,114.94,1.87
Tobacco,Rabi,2024-2025,Odisha,Jagatsinghapur,1271.82,11062,19469.12,207.06,1.76
Cashew,Kharif,2010-2011,Odisha,Sundargarh,1593.67,16948,27286.28,155.45,1.61
Pumpkin,Kharif,2018-2019,Odisha,Koraput,1707.92,16718,29089.32,251.88,1.74
Coriander,Rabi,2023-2024,Odisha,Kandhamal,1331.98,16710,27738.6,154.28,1.66
Sweet Potato,Kharif,2002-2003,Odisha,Angul,1080.42,24267,38827.2,212.47,1.6
Onion,Rabi,2009-2010,Odisha,Rayagada,1455.65,16395,26559.9,131.96,1.62
Exotic Vegetables,Kharif,2008-2009,Odisha,Malkangiri,1518.05,6199,9732.43,194.47,1.57
Maize,Kharif,2017-2018,Odisha,Angul,1450.35,99614,319760.94,161.8,3.21
Gram (Chickpea),Rabi,2024-2025,Odisha,Malkangiri,1332.48,23303,37517.83,109.02,1.61
Bajra (Pearl Millet),Rabi,2014-2015,Odisha,Koraput,1266.41,11132,18479.12,88.31,1.66
Field Pea,Kharif,2005-2006,Odisha,Bargarh,1668.96,15031,24650.84,89.92,1.64
Turmeric,Kharif,2009-2010,Odisha,Khordha,1320.77,15559,24272.04,202.93,1.56
Coconut,Kharif,2019-2020,Odisha,Bhadrak,1300.52,7039,10840.06,125.4,1.54
Oil Palm,Kharif,2010-2011,Odisha,Boudh,1476.61,23144,35178.88,230.37,1.52
Arhar (Pigeon Pea),Rabi,2015-2016,Odisha,Bhadrak,1338.01,32959,53063.99,219.51,1.61
Cardamom,Kharif,2002-2003,Odisha,Kendrapara,1479.51,26108,37073.36,102.57,1.42
Castor,Rabi,2005-2006,Odisha,Sundargarh,1470.9,29082,45077.1,162.63,1.55
Groundnut,Rabi,2021-2022,Odisha,Sambalpur,1617.97,3526,6241.02,233.58,1.77
Banana,Kharif,2017-2018,Odisha,Gajapati,1509.95,13920,421915.2,98.91,30.31
Mesta,Rabi,2013-2014,Odisha,Kendrapara,1473.33,7756,11944.24,104.01,1.54
Mustard,Kharif,2023-2024,Odisha,Sundargarh,1290.91,32699,60493.15,203.02,1.85
Banana,Rabi,2015-2016,Odisha,Nuapada,1391.81,15352,459945.92,90.5,29.96
Oil Palm,Kharif,2002-2003,Odisha,Jagatsinghapur,1434.68,29906,44260.88,192.09,1.48
Wheat,Rabi,2010-2011,Odisha,Dhenkanal,1532.75,14870,36728.9,208.83,2.47
Cashew,Rabi,2003-2004,Odisha,Angul,1764.95,13657,21031.78,129.04,1.54
Jackfruit,Kharif,2020-2021,Odisha,Rayagada,1338.45,33934,53615.72,251.91,1.58
Field Pea,Kharif,2014-2015,Odisha,Koraput,1540.08,14452,26591.68,144.62,1.84
Mango,Kharif,2016-2017,Odisha,Nayagarh,1619.99,20359,35017.48,142.6,1.72
Field Pea,Kharif,2018-2019,Odisha,Ganjam,1292.71,20791,37007.98,108.42,1.78
Bajra (Pearl Millet),Rabi,2002-2003,Odisha,Bhadrak,1394.92,26938,41215.14,91.64,1.53
Mesta,Kharif,2009-2010,Odisha,Kalahandi,1471.51,15049,21670.56,105.65,1.44
Chilli,Rabi,2007-2008,Odisha,Rayagada,1247.49,32396,58636.76,158.16,1.81
Rubber,Kharif,2008-2009,Odisha,Nabarangpur,1409.44,23064,38286.24,218.35,1.66
Sapota,Rabi,2000-2001,Odisha,Balasore,1729.88,25031,42052.08,190.84,1.68
Pumpkin,Rabi,2009-2010,Odisha,Bargarh,1560.61,15588,24940.8,118.79,1.6
Mesta,Rabi,2015-2016,Odisha,Balangir,1437.45,18441,28214.73,126.08,1.53
Tomato,Rabi,2017-2018,Odisha,Angul,1427.41,23675,42141.5,163.1,1.78
Gourds,Rabi,2008-2009,Odisha,Gajapati,1428.59,26077,38072.42,211.0,1.46
Kulthi (Horse Gram),Rabi,2005-2006,Odisha,Ganjam,1570.61,16500,22275.0,175.29,1.35
Cashew,Kharif,2003-2004,Odisha,Koraput,1776.68,31404,43337.52,249.45,1.38
Coriander,Rabi,2006-2007,Odisha,Gajapati,1494.98,30886,49108.74,180.23,1.59
Sugarcane,Kharif,2015-2016,Odisha,Angul,1348.91,2455,194804.25,175.31,79.35
Sugarcane,Rabi,2019-2020,Odisha,Balasore,1560.11,4907,397663.28,209.08,81.04
Arhar (Pigeon Pea),Rabi,2000-2001,Odisha,Balangir,1620.54,22443,33664.5,95.38,1.5
Rice (Paddy),Rabi,2018-2019,Odisha,Subarnapur,1369.16,117818,421788.44,184.32,3.58
Sugarcane,Kharif,2002-2003,Odisha,Bargarh,1468.13,11249,902844.74,196.44,80.26
Papaya,Rabi,2002-2003,Odisha,Nayagarh,1584.62,35645,1265753.95,192.75,35.51
Cabbage,Kharif,2002-2003,Odisha,Mayurbhanj,1520.69,24235,37564.25,176.1,1.55
Biri (Black Gram),Kharif,2001-2002,Odisha,Balasore,1548.16,23807,39043.48,179.78,1.64
Mung (Green Gram),Kharif,2020-2021,Odisha,Nuapada,1524.92,20944,32672.64,149.53,1.56
Cowpea,Kharif,2010-2011,Odisha,Puri,1313.92,26446,42313.6,180.84,1.6
Okra (Bhendi),Kharif,2017-2018,Odisha,Ganjam,1479.3,22859,35660.04,227.78,1.56
Tobacco,Kharif,2023-2024,Odisha,Gajapati,1616.31,22004,39167.12,202.63,1.78
Potato,Rabi,2003-2004,Odisha,Bhadrak,1301.44,32440,699406.4,127.55,21.56
Mustard,Kharif,2003-2004,Odisha,Angul,1689.92,20334,28670.94,139.32,1.41
Potato,Kharif,2008-2009,Odisha,Ganjam,1361.17,42103,916582.31,176.95,21.77
Pineapple,Kharif,2020-2021,Odisha,Keonjhar,1343.95,11545,19164.7,254.19,1.66
Wheat,Kharif,2011-2012,Odisha,Kalahandi,1332.95,11022,24799.5,192.12,2.25
Exotic Vegetables,Rabi,2008-2009,Odisha,Koraput,1555.24,17375,27626.25,178.99,1.59
Gourds,Kharif,2017-2018,Odisha,Jagatsinghapur,1473.97,12398,21076.6,216.63,1.7
Black Pepper,Rabi,2023-2024,Odisha,Ganjam,1353.18,6281,10740.51,205.2,1.71
Castor,Kharif,2024-2025,Odisha,Deogarh,1552.13,27703,47926.19,99.6,1.73
Mango,Rabi,2023-2024,Odisha,Balasore,1480.48,5900,10266.0,208.29,1.74
Sweet Potato,Kharif,2014-2015,Odisha,Gajapati,1490.19,15880,28107.6,150.56,1.77
Biri (Black Gram),Kharif,2018-2019,Odisha,Sundargarh,1610.71,20846,33978.98,142.42,1.63
Cotton,Kharif,2004-2005,Odisha,Ganjam,1563.37,38462,19231.0,170.56,0.5
Mesta,Kharif,2011-2012,Odisha,Balasore,1360.59,18169,31614.06,127.57,1.74
Okra (Bhendi),Rabi,2022-2023,Odisha,Khordha,1794.88,26682,45092.58,210.09,1.69
Chilli,Kharif,2007-2008,Odisha,Cuttack,1566.54,27978,50640.18,106.17,1.81
Field Pea,Rabi,2015-2016,Odisha,Keonjhar,1290.95,12493,20363.59,122.13,1.63
Linseed,Rabi,2008-2009,Odisha,Malkangiri,1395.0,13019,20439.83,115.9,1.57
Arhar (Pigeon Pea),Kharif,2014-2015,Odisha,Sambalpur,1529.64,22668,36948.84,214.02,1.63
Small Millets,Kharif,2004-2005,Odisha,Mayurbhanj,1429.21,30103,47863.77,218.72,1.59
Sunflower,Rabi,2016-2017,Odisha,Cuttack,1374.81,19499,31003.41,187.87,1.59
Tea,Kharif,2011-2012,Odisha,Kandhamal,1235.98,15214,22668.86,245.05,1.49
Okra (Bhendi),Rabi,2009-2010,Odisha,Jagatsinghapur,1278.5,35044,58523.48,211.48,1.67
Potato,Rabi,2008-2009,Odisha,Balangir,1463.59,8702,191444.0,108.78,22.0
Okra (Bhendi),Rabi,2008-2009,Odisha,Ganjam,1519.29,33428,56159.04,134.38,1.68
Cardamom,Kharif,2019-2020,Odisha,Ganjam,1267.6,33800,58474.0,250.74,1.73
Coffee,Rabi,2014-2015,Odisha,Balangir,1332.08,17482,26922.28,181.0,1.54
Tea,Rabi,2004-2005,Odisha,Nuapada,1670.76,32490,46135.8,181.9,1.42
Onion,Rabi,2021-2022,Odisha,Kalahandi,1681.33,16864,31872.96,114.15,1.89
Small Millets,Kharif,2021-2022,Odisha,Balasore,1562.85,22826,38575.94,197.54,1.69
Brinjal (Eggplant),Kharif,2022-2023,Odisha,Bhadrak,1479.86,26793,45280.17,158.97,1.69
Sapota,Kharif,2007-2008,Odisha,Koraput,1561.52,26249,41998.4,156.66,1.6
Cauliflower,Rabi,2022-2023,Odisha,Nabarangpur,1452.52,11919,20977.44,220.49,1.76
Cauliflower,Kharif,2002-2003,Odisha,Kalahandi,1444.9,4278,7187.04,218.65,1.68
Turmeric,Kharif,2015-2016,Odisha,Subarnapur,1559.37,9135,14067.9,197.72,1.54
Papaya,Kharif,2011-2012,Odisha,Kendrapara,1443.97,9545,334934.05,198.31,35.09
Small Millets,Rabi,2000-2001,Odisha,Nayagarh,1629.93,23366,36918.28,109.4,1.58
Exotic Vegetables,Kharif,2003-2004,Odisha,Dhenkanal,1641.09,24465,37920.75,250.72,1.55
Guava,Rabi,2010-2011,Odisha,Dhenkanal,1532.39,2973,4608.15,225.05,1.55
Cowpea,Rabi,2007-2008,Odisha,Kendrapara,1340.75,21952,32049.92,97.71,1.46
Jackfruit,Kharif,2015-2016,Odisha,Koraput,1276.15,10651,17148.11,229.06,1.61
Gram (Chickpea),Kharif,2005-2006,Odisha,Subarnapur,1492.0,17325,25987.5,217.76,1.5
Tobacco,Kharif,2010-2011,Odisha,Dhenkanal,1281.37,20812,30177.4,152.21,1.45
Maize,Kharif,2002-2003,Odisha,Nabarangpur,1423.62,36967,112010.01,188.99,3.03
Oranges & Limes,Rabi,2011-2012,Odisha,Jharsuguda,1277.0,6300,9639.0,173.51,1.53
Okra (Bhendi),Kharif,2011-2012,Odisha,Balasore,1761.31,28548,46533.24,145.07,1.63
Biri (Black Gram),Rabi,2005-2006,Odisha,Dhenkanal,1709.78,24537,40240.68,83.41,1.64
Castor,Kharif,2020-2021,Odisha,Kandhamal,1536.54,22455,39296.25,130.53,1.75
Niger,Rabi,2013-2014,Odisha,Bhadrak,1373.55,25659,43107.12,213.44,1.68
Lentil,Kharif,2005-2006,Odisha,Subarnapur,1381.26,12658,18987.0,161.85,1.5
Linseed,Rabi,2014-2015,Odisha,Balasore,1407.49,22295,35226.1,157.71,1.58
Mustard,Rabi,2024-2025,Odisha,Subarnapur,1580.5,26586,47323.08,206.65,1.78
Papaya,Rabi,2014-2015,Odisha,Rayagada,1529.48,18751,662847.85,129.1,35.35
Mung (Green Gram),Kharif,2004-2005,Odisha,Bargarh,1321.71,11882,20318.22,104.46,1.71
Papaya,Rabi,2008-2009,Odisha,Sambalpur,1526.4,25658,908293.2,227.42,35.4
Papaya,Kharif,2010-2011,Odisha,Jajpur,1464.21,27101,950432.07,250.42,35.07
Pumpkin,Kharif,2003-2004,Odisha,Sambalpur,1148.63,17522,27509.54,136.64,1.57
Brinjal (Eggplant),Kharif,2004-2005,Odisha,Nayagarh,1424.06,27666,43158.96,244.85,1.56
Sesamum (Til),Kharif,2024-2025,Odisha,Dhenkanal,1495.38,18617,27925.5,251.45,1.5
Rubber,Kharif,2010-2011,Odisha,Dhenkanal,1671.79,16468,28654.32,149.67,1.74
Jackfruit,Kharif,2003-2004,Odisha,Nayagarh,1422.75,27573,41083.77,224.6,1.49
Brinjal (Eggplant),Kharif,2020-2021,Odisha,Kendrapara,1613.53,22133,37626.1,215.82,1.7
Cowpea,Kharif,2000-2001,Odisha,Sambalpur,1430.15,26258,43063.12,239.42,1.64
Chilli,Rabi,2017-2018,Odisha,Kendrapara,1487.69,19656,33611.76,125.98,1.71
Tobacco,Rabi,2020-2021,Odisha,Deogarh,1512.73,22534,40335.86,119.62,1.79
Black Pepper,Kharif,2015-2016,Odisha,Angul,1480.61,17581,27602.17,249.2,1.57
Cauliflower,Rabi,2004-2005,Odisha,Sambalpur,1590.48,19399,27934.56,129.01,1.44
Potato,Rabi,2014-2015,Odisha,Puri,1424.03,24901,551059.13,162.9,22.13
Field Pea,Kharif,2010-2011,Odisha,Boudh,1385.44,8528,13730.08,159.98,1.61
Mung (Green Gram),Kharif,2018-2019,Odisha,Kandhamal,1622.9,579,1001.67,214.51,1.73
Jackfruit,Rabi,2009-2010,Odisha,Kendrapara,1354.02,17218,29442.78,109.39,1.71
Cashew,Kharif,2005-2006,Odisha,Dhenkanal,1487.68,36572,58515.2,202.89,1.6
Cotton,Rabi,2007-2008,Odisha,Jajpur,1652.29,30486,15547.86,156.6,0.51
Brinjal (Eggplant),Kharif,2016-2017,Odisha,Subarnapur,1461.14,25631,42803.77,221.88,1.67
Potato,Kharif,2021-2022,Odisha,Kendrapara,1624.58,31757,717073.06,249.88,22.58
Lentil,Rabi,2003-2004,Odisha,Mayurbhanj,1442.29,8741,13111.5,90.13,1.5
Jackfruit,Rabi,2004-2005,Odisha,Nuapada,1356.96,19192,29555.68,185.51,1.54
Rubber,Rabi,2022-2023,Odisha,Bhadrak,1640.43,9070,15781.8,172.28,1.74
Coffee,Rabi,2016-2017,Odisha,Kandhamal,1325.28,23634,43722.9,159.93,1.85
Gourds,Rabi,2002-2003,Odisha,Angul,1345.97,16572,24858.0,90.01,1.5
Lentil,Kharif,2008-2009,Odisha,Rayagada,1116.23,12666,21152.22,97.93,1.67
Tomato,Rabi,2004-2005,Odisha,Bhadrak,1527.14,23045,30188.95,178.54,1.31
Cauliflower,Kharif,2017-2018,Odisha,Kandhamal,1428.23,22379,38268.09,131.56,1.71
Tobacco,Kharif,2002-2003,Odisha,Sundargarh,1440.02,18048,24184.32,109.28,1.34
Litchi,Kharif,2020-2021,Odisha,Khordha,1431.04,19142,35604.12,116.54,1.86
Kulthi (Horse Gram),Kharif,2014-2015,Odisha,Puri,1026.0,28954,39666.98,230.1,1.37
Gram (Chickpea),Rabi,2006-2007,Odisha,Jajpur,1471.2,22324,34825.44,142.28,1.56
Mango,Kharif,2015-2016,Odisha,Kalahandi,1222.67,8353,12445.97,193.94,1.49
Rice (Paddy),Rabi,2012-2013,Odisha,Rayagada,1482.05,111302,415156.46,228.34,3.73
Banana,Kharif,2001-2002,Odisha,Jharsuguda,1236.36,16321,480816.66,172.28,29.46
Jute,Rabi,2013-2014,Odisha,Khordha,1302.42,16020,38768.4,207.06,2.42
Jute,Rabi,2000-2001,Odisha,Nabarangpur,1192.04,5740,14005.6,114.15,2.44
Onion,Kharif,2007-2008,Odisha,Khordha,1453.53,18420,30393.0,130.32,1.65
Gourds,Kharif,2012-2013,Odisha,Jajpur,1418.24,13599,21486.42,156.38,1.58
Brinjal (Eggplant),Rabi,2022-2023,Odisha,Malkangiri,1559.87,23922,41385.06,249.04,1.73
Ragi (Finger Millet),Rabi,2003-2004,Odisha,Nabarangpur,1531.71,11865,19458.6,214.64,1.64
Niger,Rabi,2019-2020,Odisha,Malkangiri,1276.73,12560,20096.0,99.17,1.6
Garlic,Kharif,2010-2011,Odisha,Bhadrak,1130.93,22616,37542.56,93.97,1.66
Groundnut,Rabi,2010-2011,Odisha,Mayurbhanj,1686.76,25205,41840.3,114.11,1.66
Niger,Kharif,2011-2012,Odisha,Angul,1681.13,23662,39515.54,100.86,1.67
Bajra (Pearl Millet),Rabi,2015-2016,Odisha,Bhadrak,1548.59,17629,30674.46,176.24,1.74
Potato,Kharif,2001-2002,Odisha,Bhadrak,1413.49,23294,512002.12,95.89,21.98
Oil Palm,Kharif,2001-2002,Odisha,Gajapati,1210.54,28471,38151.14,177.27,1.34
Oranges & Limes,Kharif,2014-2015,Odisha,Subarnapur,1409.74,22553,37212.45,218.4,1.65
Small Millets,Rabi,2019-2020,Odisha,Bhadrak,1067.64,16665,29330.4,155.88,1.76
Onion,Rabi,2005-2006,Odisha,Jharsuguda,1410.37,16757,21448.96,107.46,1.28
Jowar (Sorghum),Rabi,2016-2017,Odisha,Deogarh,1296.1,24118,37624.08,178.14,1.56
Jackfruit,Rabi,2011-2012,Odisha,Koraput,1635.0,26592,42281.28,249.73,1.59
Pineapple,Rabi,2005-2006,Odisha,Koraput,1602.47,8588,13483.16,246.7,1.57
Pineapple,Rabi,2012-2013,Odisha,Jharsuguda,1644.67,10984,19112.16,217.42,1.74
Sesamum (Til),Rabi,2019-2020,Odisha,Koraput,1319.48,18494,33844.02,90.76,1.83
Sweet Potato,Kharif,2024-2025,Odisha,Sundargarh,1384.62,24417,43950.6,196.86,1.8
Tomato,Rabi,2023-2024,Odisha,Jharsuguda,1435.88,23430,35847.9,147.03,1.53
Tomato,Rabi,2018-2019,Odisha,Kandhamal,1568.84,11483,19406.27,157.61,1.69
Brinjal (Eggplant),Kharif,2016-2017,Odisha,Rayagada,1714.89,5539,10247.15,229.69,1.85
Field Pea,Rabi,2003-2004,Odisha,Sundargarh,1534.97,23261,35821.94,205.55,1.54
Rice (Paddy),Rabi,2022-2023,Odisha,Ganjam,1526.8,139465,536940.25,129.9,3.85
Sapota,Rabi,2003-2004,Odisha,Boudh,1330.1,40272,63227.04,207.39,1.57
Coffee,Kharif,2001-2002,Odisha,Kandhamal,1207.29,16971,22401.72,202.53,1.32
Cowpea,Kharif,2003-2004,Odisha,Subarnapur,1570.41,14154,22080.24,87.44,1.56
Groundnut,Kharif,2014-2015,Odisha,Deogarh,1168.94,24408,34659.36,109.82,1.42
Sesamum (Til),Rabi,2024-2025,Odisha,Jagatsinghapur,1452.71,25260,43952.4,103.44,1.74
Cowpea,Kharif,2020-2021,Odisha,Bhadrak,1553.1,13434,22837.8,224.76,1.7
Tobacco,Kharif,2023-2024,Odisha,Jharsuguda,1594.63,19267,32753.9,96.78,1.7
Oil Palm,Kharif,2008-2009,Odisha,Nuapada,1529.55,12078,19566.36,205.61,1.62
Kulthi (Horse Gram),Kharif,2006-2007,Odisha,Boudh,1319.31,19040,28369.6,91.22,1.49
Mung (Green Gram),Kharif,2011-2012,Odisha,Balangir,1472.7,29008,45832.64,109.97,1.58
Litchi,Kharif,2012-2013,Odisha,Malkangiri,1332.11,18314,28936.12,228.76,1.58
Biri (Black Gram),Kharif,2022-2023,Odisha,Cuttack,1470.73,21601,33697.56,159.14,1.56
Sugarcane,Kharif,2000-2001,Odisha,Gajapati,1768.94,4862,401163.62,102.3,82.51
Sweet Potato,Rabi,2003-2004,Odisha,Kendrapara,1348.56,4798,7244.98,161.21,1.51
